CodInst,NomeInstituicao,Segmento
33136888,IF 33136888,N/D
33147315,IF 33147315,N/D
33171211,IF 33171211,N/D
33172537,Banco Pan S.A.,S3
33222241,IF 33222241,N/D
33254319,IF 33254319,N/D
33264668,Bradesco Financiamentos S.A.,S2
33311713,IF 33311713,N/D
33370115,IF 33370115,N/D
33416108,IF 33416108,N/D
33449007,IF 33449007,N/D
33466988,IF 33466988,N/D
33479023,Sicoob,S2
33579731,IF 33579731,N/D
33588252,IF 33588252,N/D
33603457,IF 33603457,N/D
33615055,IF 33615055,N/D
33630661,IF 33630661,N/D
33644196,IF 33644196,N/D
33657248,Banco Santander (Brasil) S.A.,S1
33667205,IF 33667205,N/D
33709114,IF 33709114,N/D
33735192,IF 33735192,N/D
33737818,IF 33737818,N/D
33775974,IF 33775974,N/D
33817677,IF 33817677,N/D
33850686,IF 33850686,N/D
33851064,IF 33851064,N/D
33851205,IF 33851205,N/D
33862244,IF 33862244,N/D
33868597,IF 33868597,N/D
33884941,IF 33884941,N/D
33885724,IF 33885724,N/D
33886862,IF 33886862,N/D
33890605,IF 33890605,N/D
33894445,IF 33894445,N/D
33923798,IF 33923798,N/D
33924028,IF 33924028,N/D
33959738,IF 33959738,N/D
33987793,IF 33987793,N/D
34006497,IF 34006497,N/D
34088029,IF 34088029,N/D
34111187,IF 34111187,N/D
34139916,IF 34139916,N/D
34148882,IF 34148882,N/D
34169557,IF 34169557,N/D
34190991,IF 34190991,N/D
34254279,IF 34254279,N/D
34265561,IF 34265561,N/D
34265629,IF 34265629,N/D
34270520,IF 34270520,N/D
34335592,IF 34335592,N/D
34337707,IF 34337707,N/D
34471744,IF 34471744,N/D
34590184,IF 34590184,N/D
34666362,IF 34666362,N/D
34669130,IF 34669130,N/D
34711571,IF 34711571,N/D
34747388,IF 34747388,N/D
34829992,IF 34829992,N/D
34831910,IF 34831910,N/D
34846868,IF 34846868,N/D
34978626,IF 34978626,N/D
34991938,IF 34991938,N/D
35084163,IF 35084163,N/D
35136120,IF 35136120,N/D
35210410,IF 35210410,N/D
35274306,IF 35274306,N/D
35340796,IF 35340796,N/D
35470647,IF 35470647,N/D
35479592,IF 35479592,N/D
35523352,IF 35523352,N/D
35534511,IF 35534511,N/D
35551187,IF 35551187,N/D
35571249,IF 35571249,N/D
35810871,IF 35810871,N/D
35911258,IF 35911258,N/D
35977097,IF 35977097,N/D
36010822,IF 36010822,N/D
36113876,IF 36113876,N/D
36266751,IF 36266751,N/D
36272465,IF 36272465,N/D
36321990,IF 36321990,N/D
36452762,IF 36452762,N/D
36583700,IF 36583700,N/D
36586946,IF 36586946,N/D
36588217,IF 36588217,N/D
36658769,IF 36658769,N/D
36864992,IF 36864992,N/D
36900256,IF 36900256,N/D
36947229,IF 36947229,N/D
37076205,IF 37076205,N/D
37079720,IF 37079720,N/D
37122487,IF 37122487,N/D
37134759,IF 37134759,N/D
37229413,IF 37229413,N/D
37241230,IF 37241230,N/D
37255049,IF 37255049,N/D
37395399,IF 37395399,N/D
37414009,IF 37414009,N/D
37442605,IF 37442605,N/D
37470405,IF 37470405,N/D
37511258,IF 37511258,N/D
37526080,IF 37526080,N/D
37554441,IF 37554441,N/D
37555231,IF 37555231,N/D
37631058,IF 37631058,N/D
37678915,IF 37678915,N/D
37679449,IF 37679449,N/D
37715993,IF 37715993,N/D
37763847,IF 37763847,N/D
37800856,IF 37800856,N/D
37880206,IF 37880206,N/D
38129006,IF 38129006,N/D
38146949,IF 38146949,N/D
38224857,IF 38224857,N/D
38316293,IF 38316293,N/D
38372267,IF 38372267,N/D
38429045,IF 38429045,N/D
38486817,IF 38486817,N/D
38588174,IF 38588174,N/D
38593706,IF 38593706,N/D
39231527,IF 39231527,N/D
39321657,IF 39321657,N/D
39343350,IF 39343350,N/D
39416705,IF 39416705,N/D
39431423,IF 39431423,N/D
39519944,IF 39519944,N/D
39544456,IF 39544456,N/D
39587424,IF 39587424,N/D
39664698,IF 39664698,N/D
39669186,IF 39669186,N/D
39676772,IF 39676772,N/D
39696805,IF 39696805,N/D
39738065,IF 39738065,N/D
39908427,IF 39908427,N/D
39993186,IF 39993186,N/D
40083667,IF 40083667,N/D
40112555,IF 40112555,N/D
40269467,IF 40269467,N/D
40276692,IF 40276692,N/D
40303299,IF 40303299,N/D
40333582,IF 40333582,N/D
40353377,IF 40353377,N/D
40429946,IF 40429946,N/D
40434681,IF 40434681,N/D
40473435,IF 40473435,N/D
40475846,IF 40475846,N/D
40571694,IF 40571694,N/D
40654622,IF 40654622,N/D
40768766,IF 40768766,N/D
40819834,IF 40819834,N/D
40820176,IF 40820176,N/D
40867163,IF 40867163,N/D
41146382,IF 41146382,N/D
41180092,IF 41180092,N/D
41219353,IF 41219353,N/D
41255225,IF 41255225,N/D
41349521,IF 41349521,N/D
41498340,IF 41498340,N/D
41538335,IF 41538335,N/D
41560568,IF 41560568,N/D
41592532,IF 41592532,N/D
41669227,IF 41669227,N/D
41697103,IF 41697103,N/D
41707258,IF 41707258,N/D
41753500,IF 41753500,N/D
41791005,IF 41791005,N/D
41805003,IF 41805003,N/D
41931221,IF 41931221,N/D
41931445,IF 41931445,N/D
42040639,IF 42040639,N/D
42047025,IF 42047025,N/D
42054886,IF 42054886,N/D
42064545,IF 42064545,N/D
42066258,IF 42066258,N/D
42100982,IF 42100982,N/D
42107706,IF 42107706,N/D
42258376,IF 42258376,N/D
42259084,IF 42259084,N/D
42272526,IF 42272526,N/D
42445122,IF 42445122,N/D
42584318,IF 42584318,N/D
42622791,IF 42622791,N/D
42627615,IF 42627615,N/D
42723848,IF 42723848,N/D
42873828,IF 42873828,N/D
42880617,IF 42880617,N/D
42887133,IF 42887133,N/D
42898825,IF 42898825,N/D
42926025,IF 42926025,N/D
42934794,IF 42934794,N/D
42963742,IF 42963742,N/D
43010260,IF 43010260,N/D
43050917,IF 43050917,N/D
43060029,IF 43060029,N/D
43167610,IF 43167610,N/D
43180355,IF 43180355,N/D
43182278,IF 43182278,N/D
43215815,IF 43215815,N/D
43268960,IF 43268960,N/D
43394419,IF 43394419,N/D
43438662,IF 43438662,N/D
43446335,IF 43446335,N/D
43488782,IF 43488782,N/D
43561343,IF 43561343,N/D
43599047,IF 43599047,N/D
43730498,IF 43730498,N/D
43774196,IF 43774196,N/D
43815158,IF 43815158,N/D
43818780,IF 43818780,N/D
43978697,IF 43978697,N/D
44019481,IF 44019481,N/D
44064068,IF 44064068,N/D
44077014,IF 44077014,N/D
44128548,IF 44128548,N/D
44154779,IF 44154779,N/D
44189447,IF 44189447,N/D
44223196,IF 44223196,N/D
44292580,IF 44292580,N/D
44323831,IF 44323831,N/D
44353942,IF 44353942,N/D
44373041,IF 44373041,N/D
44401800,IF 44401800,N/D
44431743,IF 44431743,N/D
44459799,IF 44459799,N/D
44469161,IF 44469161,N/D
44471172,IF 44471172,N/D
44475245,IF 44475245,N/D
44478623,IF 44478623,N/D
44527444,IF 44527444,N/D
44564204,IF 44564204,N/D
44650156,IF 44650156,N/D
44683140,IF 44683140,N/D
44705774,IF 44705774,N/D
44728700,IF 44728700,N/D
44746352,IF 44746352,N/D
44782130,IF 44782130,N/D
44815065,IF 44815065,N/D
44905255,IF 44905255,N/D
44921281,IF 44921281,N/D
45045671,IF 45045671,N/D
45056494,IF 45056494,N/D
45068632,IF 45068632,N/D
45220646,IF 45220646,N/D
45246410,IF 45246410,N/D
45283173,IF 45283173,N/D
45331622,IF 45331622,N/D
45341994,IF 45341994,N/D
45437547,IF 45437547,N/D
45457891,IF 45457891,N/D
45597546,IF 45597546,N/D
45691128,IF 45691128,N/D
45716916,IF 45716916,N/D
45745537,IF 45745537,N/D
45756448,IF 45756448,N/D
45854066,IF 45854066,N/D
45860531,IF 45860531,N/D
45879000,IF 45879000,N/D
46009412,IF 46009412,N/D
46026562,IF 46026562,N/D
46130566,IF 46130566,N/D
46241852,IF 46241852,N/D
46277273,IF 46277273,N/D
46403683,IF 46403683,N/D
46505612,IF 46505612,N/D
46518205,IF 46518205,N/D
46570800,IF 46570800,N/D
46642294,IF 46642294,N/D
46743943,IF 46743943,N/D
46743997,IF 46743997,N/D
46955383,IF 46955383,N/D
47074323,IF 47074323,N/D
47133056,IF 47133056,N/D
47193149,IF 47193149,N/D
47196084,IF 47196084,N/D
47215387,IF 47215387,N/D
47227569,IF 47227569,N/D
47438068,IF 47438068,N/D
47509120,IF 47509120,N/D
47593544,IF 47593544,N/D
47631123,IF 47631123,N/D
47825528,IF 47825528,N/D
47873449,IF 47873449,N/D
47944277,IF 47944277,N/D
47965438,IF 47965438,N/D
48140925,IF 48140925,N/D
48172860,IF 48172860,N/D
48176336,IF 48176336,N/D
48430050,IF 48430050,N/D
48528314,IF 48528314,N/D
48529228,IF 48529228,N/D
48552108,IF 48552108,N/D
48584954,IF 48584954,N/D
48632754,IF 48632754,N/D
48703302,IF 48703302,N/D
48703388,IF 48703388,N/D
48707451,IF 48707451,N/D
48718183,IF 48718183,N/D
48721937,IF 48721937,N/D
48751854,IF 48751854,N/D
48755901,IF 48755901,N/D
48756121,IF 48756121,N/D
48786608,IF 48786608,N/D
48795256,IF 48795256,N/D
48805820,IF 48805820,N/D
48967968,IF 48967968,N/D
49035310,IF 49035310,N/D
49091119,IF 49091119,N/D
49173791,IF 49173791,N/D
49204605,IF 49204605,N/D
49241570,IF 49241570,N/D
49288113,IF 49288113,N/D
49389307,IF 49389307,N/D
49555647,IF 49555647,N/D
49654502,IF 49654502,N/D
49889190,IF 49889190,N/D
49931906,IF 49931906,N/D
49933388,IF 49933388,N/D
49947715,IF 49947715,N/D
50032584,IF 50032584,N/D
50053267,IF 50053267,N/D
50286774,IF 50286774,N/D
50489148,IF 50489148,N/D
50579044,IF 50579044,N/D
50585090,IF 50585090,N/D
50626276,IF 50626276,N/D
50735161,IF 50735161,N/D
50946592,IF 50946592,N/D
51010858,IF 51010858,N/D
51014223,IF 51014223,N/D
51118615,IF 51118615,N/D
51118718,IF 51118718,N/D
51212088,IF 51212088,N/D
51342763,IF 51342763,N/D
51414521,IF 51414521,N/D
51489318,IF 51489318,N/D
51556307,IF 51556307,N/D
51604356,IF 51604356,N/D
51834986,IF 51834986,N/D
52046299,IF 52046299,N/D
52137361,IF 52137361,N/D
52440987,IF 52440987,N/D
52586293,IF 52586293,N/D
52623311,IF 52623311,N/D
52690487,IF 52690487,N/D
52935442,IF 52935442,N/D
52937216,IF 52937216,N/D
53146221,IF 53146221,N/D
53184438,IF 53184438,N/D
53236808,IF 53236808,N/D
53263331,IF 53263331,N/D
53272365,IF 53272365,N/D
53385390,IF 53385390,N/D
53505601,IF 53505601,N/D
53505681,IF 53505681,N/D
53518684,IF 53518684,N/D
53575491,IF 53575491,N/D
53623781,IF 53623781,N/D
53720128,IF 53720128,N/D
53776852,IF 53776852,N/D
53800488,IF 53800488,N/D
53841911,IF 53841911,N/D
53846242,IF 53846242,N/D
53899051,IF 53899051,N/D
53932869,IF 53932869,N/D
53935029,IF 53935029,N/D
54037916,IF 54037916,N/D
54190525,IF 54190525,N/D
54264235,IF 54264235,N/D
54335401,IF 54335401,N/D
54401286,IF 54401286,N/D
54403563,IF 54403563,N/D
54541468,IF 54541468,N/D
54603022,IF 54603022,N/D
54647259,IF 54647259,N/D
54733010,IF 54733010,N/D
55230916,IF 55230916,N/D
55319370,IF 55319370,N/D
55428859,IF 55428859,N/D
55823094,IF 55823094,N/D
56030613,IF 56030613,N/D
56198117,IF 56198117,N/D
56606230,IF 56606230,N/D
57038408,IF 57038408,N/D
57259525,IF 57259525,N/D
57440521,IF 57440521,N/D
57523215,IF 57523215,N/D
57545436,IF 57545436,N/D
57563728,IF 57563728,N/D
57598120,IF 57598120,N/D
57647653,IF 57647653,N/D
57731012,IF 57731012,N/D
57839805,IF 57839805,N/D
57987273,IF 57987273,N/D
57996878,IF 57996878,N/D
58017179,IF 58017179,N/D
58022195,IF 58022195,N/D
58158387,IF 58158387,N/D
58160789,Banco Safra S.A.,S1
58229246,IF 58229246,N/D
58290800,IF 58290800,N/D
58497702,IF 58497702,N/D
58616418,IF 58616418,N/D
59109165,IF 59109165,N/D
59118133,IF 59118133,N/D
59158642,IF 59158642,N/D
59274605,IF 59274605,N/D
59281253,IF 59281253,N/D
59285411,Banco do Estado do Amazonas S.A.,S4
59305565,IF 59305565,N/D
59588111,Banco Votorantim S.A.,S2
59620708,IF 59620708,N/D
59869560,IF 59869560,N/D
60114865,IF 60114865,N/D
60394079,IF 60394079,N/D
60498557,IF 60498557,N/D
60518222,IF 60518222,N/D
60701190,Banco do Brasil S.A.,S1
60746948,Caixa Econômica Federal,S1
60770336,IF 60770336,N/D
60779196,IF 60779196,N/D
60783503,IF 60783503,N/D
60814191,IF 60814191,N/D
60850229,IF 60850229,N/D
60872504,Banco BTG Pactual S.A.,S1
60872983,IF 60872983,N/D
60889128,IF 60889128,N/D
61024352,IF 61024352,N/D
61033106,IF 61033106,N/D
61088183,IF 61088183,N/D
61182408,IF 61182408,N/D
61186680,IF 61186680,N/D
61190658,IF 61190658,N/D
61194353,IF 61194353,N/D
61348538,IF 61348538,N/D
61384004,IF 61384004,N/D
61533584,IF 61533584,N/D
61723847,IF 61723847,N/D
61747085,IF 61747085,N/D
61809182,IF 61809182,N/D
61820817,IF 61820817,N/D
61855045,IF 61855045,N/D
62063177,IF 62063177,N/D
62073200,IF 62073200,N/D
62090873,IF 62090873,N/D
62109566,IF 62109566,N/D
62144175,IF 62144175,N/D
62169875,IF 62169875,N/D
62178421,IF 62178421,N/D
62232889,Banco Inter S.A.,S3
62237425,IF 62237425,N/D
62237649,IF 62237649,N/D
62264924,IF 62264924,N/D
62280490,IF 62280490,N/D
62284385,IF 62284385,N/D
62285390,IF 62285390,N/D
62287735,IF 62287735,N/D
62307848,IF 62307848,N/D
62318407,IF 62318407,N/D
62331228,IF 62331228,N/D
62375134,IF 62375134,N/D
62418140,IF 62418140,N/D
62421979,IF 62421979,N/D
62562012,IF 62562012,N/D
62605290,IF 62605290,N/D
62673470,IF 62673470,N/D
62795257,IF 62795257,N/D
62816426,IF 62816426,N/D
62895230,IF 62895230,N/D
62928320,IF 62928320,N/D
62931522,IF 62931522,N/D
63062749,IF 63062749,N/D
63917579,IF 63917579,N/D
64237530,IF 64237530,N/D
64276058,IF 64276058,N/D
64293582,IF 64293582,N/D
64480833,IF 64480833,N/D
64739121,IF 64739121,N/D
64835226,IF 64835226,N/D
65229254,IF 65229254,N/D
65239402,IF 65239402,N/D
65635377,IF 65635377,N/D
65645137,IF 65645137,N/D
65654303,IF 65654303,N/D
65697260,IF 65697260,N/D
65913436,IF 65913436,N/D
66259110,IF 66259110,N/D
66262643,IF 66262643,N/D
66398496,IF 66398496,N/D
66402207,IF 66402207,N/D
66463407,IF 66463407,N/D
66788142,IF 66788142,N/D
67030395,IF 67030395,N/D
67031757,IF 67031757,N/D
67096909,IF 67096909,N/D
67341487,IF 67341487,N/D
67600379,IF 67600379,N/D
67915868,IF 67915868,N/D
67960229,IF 67960229,N/D
68228006,IF 68228006,N/D
68314921,IF 68314921,N/D
68512748,IF 68512748,N/D
68742204,IF 68742204,N/D
68757681,IF 68757681,N/D
68900810,IF 68900810,N/D
68969625,IF 68969625,N/D
69136075,IF 69136075,N/D
69346856,IF 69346856,N/D
69720894,IF 69720894,N/D
69720910,IF 69720910,N/D
70038237,IF 70038237,N/D
70116611,IF 70116611,N/D
70119680,IF 70119680,N/D
70241658,IF 70241658,N/D
70431630,IF 70431630,N/D
70937271,IF 70937271,N/D
71027866,IF 71027866,N/D
71146450,IF 71146450,N/D
71154256,IF 71154256,N/D
71154876,IF 71154876,N/D
71163315,IF 71163315,N/D
71207740,IF 71207740,N/D
71230338,IF 71230338,N/D
71237184,IF 71237184,N/D
71238232,IF 71238232,N/D
71243034,IF 71243034,N/D
71261184,IF 71261184,N/D
71297899,IF 71297899,N/D
71328769,IF 71328769,N/D
71336432,IF 71336432,N/D
71384697,IF 71384697,N/D
71392047,IF 71392047,N/D
71418784,IF 71418784,N/D
71419600,IF 71419600,N/D
71432926,IF 71432926,N/D
71441406,IF 71441406,N/D
71491609,IF 71491609,N/D
71502181,IF 71502181,N/D
71506513,IF 71506513,N/D
71590442,IF 71590442,N/D
71677850,IF 71677850,N/D
71698674,IF 71698674,N/D
71884498,IF 71884498,N/D
71965313,IF 71965313,N/D
72128440,IF 72128440,N/D
72257793,IF 72257793,N/D
72556996,IF 72556996,N/D
72600026,IF 72600026,N/D
72952138,IF 72952138,N/D
73077398,IF 73077398,N/D
73092827,IF 73092827,N/D
73113243,IF 73113243,N/D
73279093,IF 73279093,N/D
73302408,IF 73302408,N/D
73326449,IF 73326449,N/D
73398646,IF 73398646,N/D
73422792,IF 73422792,N/D
73443863,IF 73443863,N/D
73622748,IF 73622748,N/D
73631483,IF 73631483,N/D
73647935,IF 73647935,N/D
73750424,IF 73750424,N/D
74014747,IF 74014747,N/D
74064502,IF 74064502,N/D
74114042,IF 74114042,N/D
74220948,IF 74220948,N/D
74244344,IF 74244344,N/D
74248949,IF 74248949,N/D
74828799,IF 74828799,N/D
75174953,IF 75174953,N/D
75647891,IF 75647891,N/D
76059997,IF 76059997,N/D
76461557,IF 76461557,N/D
76543115,IF 76543115,N/D
76621457,IF 76621457,N/D
76641497,IF 76641497,N/D
77162881,IF 77162881,N/D
77984870,IF 77984870,N/D
78157146,IF 78157146,N/D
78414067,IF 78414067,N/D
78483310,IF 78483310,N/D
78626983,IF 78626983,N/D
78632767,IF 78632767,N/D
78825023,IF 78825023,N/D
78825270,IF 78825270,N/D
78834975,IF 78834975,N/D
78840071,IF 78840071,N/D
78858107,IF 78858107,N/D
78862083,IF 78862083,N/D
78865995,IF 78865995,N/D
78907607,IF 78907607,N/D
79052122,IF 79052122,N/D
79063574,IF 79063574,N/D
79086997,IF 79086997,N/D
79342069,IF 79342069,N/D
79457883,IF 79457883,N/D
80160260,IF 80160260,N/D
80202872,IF 80202872,N/D
80230774,IF 80230774,N/D
80271455,IF 80271455,N/D
80959612,IF 80959612,N/D
80959638,IF 80959638,N/D
81011686,IF 81011686,N/D
81014060,IF 81014060,N/D
81016131,IF 81016131,N/D
81054686,IF 81054686,N/D
81099491,IF 81099491,N/D
81115149,IF 81115149,N/D
81192106,IF 81192106,N/D
81206039,IF 81206039,N/D
81292278,IF 81292278,N/D
81367880,IF 81367880,N/D
81466286,IF 81466286,N/D
81607046,IF 81607046,N/D
81706616,IF 81706616,N/D
81723108,IF 81723108,N/D
82065285,IF 82065285,N/D
82096447,IF 82096447,N/D
82133182,IF 82133182,N/D
82527557,IF 82527557,N/D
82639451,IF 82639451,N/D
82937293,IF 82937293,N/D
83315408,IF 83315408,N/D
83325811,IF 83325811,N/D
83836114,IF 83836114,N/D
84156470,IF 84156470,N/D
84974278,IF 84974278,N/D
85291086,IF 85291086,N/D
86389236,IF 86389236,N/D
86564051,IF 86564051,N/D
86585049,IF 86585049,N/D
86774775,IF 86774775,N/D
86791837,IF 86791837,N/D
86829827,IF 86829827,N/D
87067757,IF 87067757,N/D
87437687,IF 87437687,N/D
87510475,IF 87510475,N/D
87733077,IF 87733077,N/D
87733770,IF 87733770,N/D
87779625,IF 87779625,N/D
87780268,IF 87780268,N/D
87780284,IF 87780284,N/D
87781530,IF 87781530,N/D
87784088,IF 87784088,N/D
87795639,IF 87795639,N/D
87853206,IF 87853206,N/D
87900411,IF 87900411,N/D
87900601,IF 87900601,N/D
87963450,IF 87963450,N/D
88038260,IF 88038260,N/D
88043187,IF 88043187,N/D
88099247,IF 88099247,N/D
88183173,IF 88183173,N/D
88325113,IF 88325113,N/D
88471024,IF 88471024,N/D
88530142,IF 88530142,N/D
88894548,IF 88894548,N/D
88952130,IF 88952130,N/D
89049738,IF 89049738,N/D
89126130,IF 89126130,N/D
89280960,IF 89280960,N/D
89468565,IF 89468565,N/D
89784367,IF 89784367,N/D
89960090,IF 89960090,N/D
89990501,IF 89990501,N/D
90278987,IF 90278987,N/D
90400888,Banco Bradesco S.A.,S1
90497256,IF 90497256,N/D
90560434,IF 90560434,N/D
90608712,IF 90608712,N/D
90729369,IF 90729369,N/D
91018408,IF 91018408,N/D
91159764,IF 91159764,N/D
91586982,IF 91586982,N/D
91669747,IF 91669747,N/D
91884981,IF 91884981,N/D
92228410,IF 92228410,N/D
92236777,IF 92236777,N/D
92555150,IF 92555150,N/D
92675578,IF 92675578,N/D
92702067,Banco Daycoval S.A.,S3
92764489,IF 92764489,N/D
92796564,IF 92796564,N/D
92816560,IF 92816560,N/D
92825397,IF 92825397,N/D
92856905,IF 92856905,N/D
92858380,IF 92858380,N/D
92874270,IF 92874270,N/D
92875780,IF 92875780,N/D
92894922,IF 92894922,N/D
92934215,IF 92934215,N/D
92935741,IF 92935741,N/D
93026847,IF 93026847,N/D
94243839,IF 94243839,N/D
94433109,IF 94433109,N/D
94968518,IF 94968518,N/D
95163002,IF 95163002,N/D
95213211,IF 95213211,N/D
95424891,IF 95424891,N/D
95594941,IF 95594941,N/D
96409263,IF 96409263,N/D
96477906,IF 96477906,N/D
97259253,IF 97259253,N/D
97406706,IF 97406706,N/D
97447304,IF 97447304,N/D
97489280,IF 97489280,N/D
