CodInst,NomeInstituicao,Segmento
02682287,IF 02682287,N/D
02685483,IF 02685483,N/D
02723075,IF 02723075,N/D
02732968,IF 02732968,N/D
02738981,IF 02738981,N/D
02766672,IF 02766672,N/D
02794761,IF 02794761,N/D
02801938,IF 02801938,N/D
02814832,IF 02814832,N/D
02819125,IF 02819125,N/D
02833202,IF 02833202,N/D
02843443,IF 02843443,N/D
02844024,IF 02844024,N/D
02850075,IF 02850075,N/D
02853045,IF 02853045,N/D
02869663,IF 02869663,N/D
02876918,IF 02876918,N/D
02883398,IF 02883398,N/D
02885855,IF 02885855,N/D
02904125,IF 02904125,N/D
02904138,IF 02904138,N/D
02910387,IF 02910387,N/D
02910987,IF 02910987,N/D
02923389,IF 02923389,N/D
02924977,IF 02924977,N/D
02927433,IF 02927433,N/D
02929977,IF 02929977,N/D
02931668,IF 02931668,N/D
02934201,IF 02934201,N/D
02935307,IF 02935307,N/D
02992317,IF 02992317,N/D
02992446,IF 02992446,N/D
03000142,IF 03000142,N/D
03012230,IF 03012230,N/D
03015152,IF 03015152,N/D
03017677,IF 03017677,N/D
03033469,IF 03033469,N/D
03042597,IF 03042597,N/D
03046391,IF 03046391,N/D
03047549,IF 03047549,N/D
03058464,IF 03058464,N/D
03065046,IF 03065046,N/D
03102185,IF 03102185,N/D
03130170,IF 03130170,N/D
03139644,IF 03139644,N/D
03165497,IF 03165497,N/D
03183937,IF 03183937,N/D
03212823,IF 03212823,N/D
03215790,IF 03215790,N/D
03219207,IF 03219207,N/D
03222753,IF 03222753,N/D
03269540,IF 03269540,N/D
03311443,IF 03311443,N/D
03317692,IF 03317692,N/D
03320525,IF 03320525,N/D
03323840,IF 03323840,N/D
03326437,IF 03326437,N/D
03358914,IF 03358914,N/D
03384738,IF 03384738,N/D
03400651,IF 03400651,N/D
03412878,IF 03412878,N/D
03419786,IF 03419786,N/D
03422007,IF 03422007,N/D
03427097,IF 03427097,N/D
03428338,IF 03428338,N/D
03443143,IF 03443143,N/D
03459850,IF 03459850,N/D
03461243,IF 03461243,N/D
03485130,IF 03485130,N/D
03502131,IF 03502131,N/D
03502961,IF 03502961,N/D
03502968,IF 03502968,N/D
03519240,IF 03519240,N/D
03532415,IF 03532415,N/D
03535065,IF 03535065,N/D
03566655,IF 03566655,N/D
03575699,IF 03575699,N/D
03584906,IF 03584906,N/D
03603683,IF 03603683,N/D
03609817,IF 03609817,N/D
03612679,IF 03612679,N/D
03612764,IF 03612764,N/D
03620772,IF 03620772,N/D
03632872,IF 03632872,N/D
03634220,IF 03634220,N/D
03634239,IF 03634239,N/D
03635061,IF 03635061,N/D
03639902,IF 03639902,N/D
03645752,IF 03645752,N/D
03657230,IF 03657230,N/D
