data_captura,data_referencia,NOME DO CONGLOMERADO,CLASSE DO CONGLOMERADO,CNPJ PARTICIPANTE,NOME DO PARTICIPANTE,TIPO PARTICIPAÇÃO,DATA INÍCIO,UF
2026-07-08,2026-06-01,AGIBANK - PRUDENCIAL,Privado Nacional,1366-01-04,"AGI FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",PARTICIPANTE,2014-01-02,SP
2026-07-08,2026-06-01,AGIBANK - PRUDENCIAL,Privado Nacional,6579-39-19,AGIBANK CREDITO PRIVADO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,PARTICIPANTE,2026-06-01,RJ
2026-07-08,2026-06-01,AGIBANK - PRUDENCIAL,Privado Nacional,6731-59-73,AGIBANK SELECAO FIC FIDC - RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-07-01,RJ
2026-07-08,2026-06-01,AGIBANK - PRUDENCIAL,Privado Nacional,6052-87-86,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,PARTICIPANTE,2025-05-28,
2026-07-08,2026-06-01,AGIBANK - PRUDENCIAL,Privado Nacional,6597-68-48,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,PARTICIPANTE,2026-04-22,
2026-07-08,2026-06-01,ANDBANK - PRUDENCIAL,Privado Nacional,4879-52-56,BANCO ANDBANK (BRASIL) S.A.,LIDER/HOLDING,2014-01-02,SP
2026-07-08,2026-06-01,ANDBANK - PRUDENCIAL,Privado Nacional,6760-03-79,ANDBANK DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,PARTICIPANTE,2015-02-02,SP
2026-07-08,2026-06-01,ANDBANK - PRUDENCIAL,Privado Nacional,3299-74-90,CREDITAS SOCIEDADE DE CRÉDITO DIRETO S.A.,PARTICIPANTE,2025-11-30,SP
2026-07-08,2026-06-01,ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,Privado Nacional,1954-05-50,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.,LIDER,2021-06-10,SC
2026-07-08,2026-06-01,ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,Privado Nacional,3832-88-36,ASAAS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO  PRIVADO,PARTICIPANTE,2022-04-28,
2026-07-08,2026-06-01,ASAAS GESTAO FINANCEIRA IP - PRUDENCIAL,Privado Nacional,4878-66-08,"ASAAS SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",PARTICIPANTE,2022-09-26,SC
2026-07-08,2026-06-01,AVANCARD PROVER IP - PRUDENCIAL,Privado Nacional,2030-81-87,AVANCARD PROVER INSTITUIÇÃO DE PAGAMENTO LTDA,LIDER,2023-08-22,AM
