TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo
3,00000000,202403,Ativo,2,,78182,"Ativo Total 
(k) = (i) - (j)",[10000007]+[20000004],2207705133732.48
3,00000000,202403,Ativo,2,,78188,"Disponibilidades 
(a)",[11000006],19992776515.11
3,00000000,202403,Ativo,2,,78189,"Aplicações Interfinanceiras de Liquidez 
(b)",[12000005],466069688683.12
3,00000000,202403,Ativo,2,,78190,"TVM e Instrumentos Financeiros Derivativos 
(c)",[13000004],465665483166.6
3,00000000,202403,Ativo,2,,78196,"Credores por Antecipação de Valor Residual 
(j)",[49908008],0.0
3,00000000,202403,Ativo,2,,78199,"Outros Créditos - Líquido de Provisão 
(f)",[18000009],241940988271.67
3,00000000,202403,Ativo,2,,78200,"Outros Ativos Realizáveis 
(g)",[19000008] + [14000003] + [15000002],128569654408.52
3,00000000,202403,Ativo,2,,78201,"Permanente Ajustado 
(h)",[20000004]-[23000001],73783048258.13
3,00000000,202403,Ativo,2,,78202,"Ativo Total Ajustado 
(i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h)",[11000006] +  [12000005] +  [13000004] + [16000001] + [17000000] + [23000001] + [49908008] + [18000009] + [19000008] + [14000003] + [15000002] + [20000004]-[23000001],2207705133732.48
3,00000000,202403,Ativo,2,Arrendamento Mercantil,78194,"Arrendamento Mercantil a Receber 
(e1)",[17000000]-[17900007],0.0
3,00000000,202403,Ativo,2,Arrendamento Mercantil,78195,"Imobilizado de Arrendamento 
(e2)",[23000001],0.0
3,00000000,202403,Ativo,2,Arrendamento Mercantil,78196,"Credores por Antecipação de Valor Residual 
(e3)",[49908008],0.0
3,00000000,202403,Ativo,2,Arrendamento Mercantil,78197,"Provisão sobre Arrendamento Mercantil 
(e4)",[17900007],0.0
3,00000000,202403,Ativo,2,Arrendamento Mercantil,78198,"Arrendamento Mercantil Líquido de Provisão 
(e)",[17000000] + [23000001] + [49908008],0.0
3,00000000,202403,Ativo,2,Operações de Crédito,78191,"Operações de Crédito 
(d1)",[16000001]-[16900008],865787506710.9
3,00000000,202403,Ativo,2,Operações de Crédito,78192,"Provisão sobre Operações de Crédito 
(d2)",[16900008],-54104012281.57
3,00000000,202403,Ativo,2,Operações de Crédito,78193,"Operações de Crédito Líquidas de Provisão 
(d)",[16000001],811683494429.33
3,00000208,202403,Ativo,2,,78182,"Ativo Total 
(k) = (i) - (j)",[10000007]+[20000004],48956943605.71
3,00000208,202403,Ativo,2,,78188,"Disponibilidades 
(a)",[11000006],198509027.58
3,00000208,202403,Ativo,2,,78189,"Aplicações Interfinanceiras de Liquidez 
(b)",[12000005],5373745756.74
3,00000208,202403,Ativo,2,,78190,"TVM e Instrumentos Financeiros Derivativos 
(c)",[13000004],7036849926.33
3,00000208,202403,Ativo,2,,78196,"Credores por Antecipação de Valor Residual 
(j)",[49908008],0.0
3,00000208,202403,Ativo,2,,78199,"Outros Créditos - Líquido de Provisão 
(f)",[18000009],3369910096.59
3,00000208,202403,Ativo,2,,78200,"Outros Ativos Realizáveis 
(g)",[19000008] + [14000003] + [15000002],1367688751.45
3,00000208,202403,Ativo,2,,78201,"Permanente Ajustado 
(h)",[20000004]-[23000001],2035525258.9
3,00000208,202403,Ativo,2,,78202,"Ativo Total Ajustado 
(i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h)",[11000006] +  [12000005] +  [13000004] + [16000001] + [17000000] + [23000001] + [49908008] + [18000009] + [19000008] + [14000003] + [15000002] + [20000004]-[23000001],48956943605.71
3,00000208,202403,Ativo,2,Arrendamento Mercantil,78194,"Arrendamento Mercantil a Receber 
(e1)",[17000000]-[17900007],0.0
3,00000208,202403,Ativo,2,Arrendamento Mercantil,78195,"Imobilizado de Arrendamento 
(e2)",[23000001],0.0
3,00000208,202403,Ativo,2,Arrendamento Mercantil,78196,"Credores por Antecipação de Valor Residual 
(e3)",[49908008],0.0
3,00000208,202403,Ativo,2,Arrendamento Mercantil,78197,"Provisão sobre Arrendamento Mercantil 
(e4)",[17900007],0.0
3,00000208,202403,Ativo,2,Arrendamento Mercantil,78198,"Arrendamento Mercantil Líquido de Provisão 
(e)",[17000000] + [23000001] + [49908008],0.0
3,00000208,202403,Ativo,2,Operações de Crédito,78191,"Operações de Crédito 
(d1)",[16000001]-[16900008],30583665933.0
3,00000208,202403,Ativo,2,Operações de Crédito,78192,"Provisão sobre Operações de Crédito 
(d2)",[16900008],-1008951144.88
3,00000208,202403,Ativo,2,Operações de Crédito,78193,"Operações de Crédito Líquidas de Provisão 
(d)",[16000001],29574714788.12
3,00066670,202403,Ativo,2,,78182,"Ativo Total 
(k) = (i) - (j)",[10000007]+[20000004],241014503.97
3,00066670,202403,Ativo,2,,78188,"Disponibilidades 
(a)",[11000006],802262.13
3,00066670,202403,Ativo,2,,78189,"Aplicações Interfinanceiras de Liquidez 
(b)",[12000005],0.0
3,00066670,202403,Ativo,2,,78190,"TVM e Instrumentos Financeiros Derivativos 
(c)",[13000004],229658435.59
