data_base,AnoMes,CodInst,TipoInstituicao,NomeInstituicao,Segmento,ativo_total,NomeRelatorio,NumeroRelatorio,78191,78192,78193,78194,78195,78196,78197,78198,78202,aplicacoes_interfinanceiras,disponibilidades,outros_ativos_realizaveis,outros_creditos_liquido,permanente_ajustado,tvm_derivativos
2024-12-31,202412,71237184,3,IF 71237184,N/D,41589120886.0,Ativo,2,16752011813.0,-1020471782.0,15731540031.0,0.0,0.0,0.0,0.0,0.0,41589120886.0,0.0,39772078.0,22647668096.0,379460709.0,233373144.0,2199358126.0
2024-03-31,202403,71238232,3,IF 71238232,N/D,56401615216.0,Ativo,2,23479231013.0,-1232426711.0,22246804302.0,0.0,0.0,0.0,0.0,0.0,56401615216.0,1296520625.0,278517813.0,28479782604.0,242214139.0,554883407.0,3302892326.0
2024-06-30,202406,71238232,3,IF 71238232,N/D,61200077379.0,Ativo,2,25170418061.0,-1278242609.0,23892175452.0,0.0,0.0,0.0,0.0,0.0,61200077379.0,1154162528.0,286171468.0,3133030907.0,512166122.0,554635738.0,3470457001.0
2024-09-30,202409,71238232,3,IF 71238232,N/D,64180178717.0,Ativo,2,26895271247.0,-1497355568.0,25397915679.0,0.0,0.0,0.0,0.0,0.0,64180178717.0,1184843447.0,470481011.0,31913451579.0,270941893.0,537409727.0,4405135381.0
2024-12-31,202412,71238232,3,IF 71238232,N/D,66714889132.0,Ativo,2,30307371381.0,-2231661241.0,2807571014.0,0.0,0.0,0.0,0.0,0.0,66714889132.0,1145059961.0,376460748.0,31598995793.0,531680815.0,54996813.0,4437013545.0
2024-03-31,202403,71243034,3,IF 71243034,N/D,5407817018.0,Ativo,2,23625354315.0,-1060404043.0,22564950272.0,0.0,0.0,0.0,0.0,0.0,5407817018.0,0.0,429124672.0,26034576331.0,509910095.0,2466308656.0,2073300154.0
2024-06-30,202406,71243034,3,IF 71243034,N/D,5770718267.0,Ativo,2,23281883893.0,-955346781.0,22326537112.0,0.0,0.0,0.0,0.0,0.0,5770718267.0,0.0,314655985.0,29722075549.0,787690291.0,2433107034.0,2123116699.0
2024-09-30,202409,71243034,3,IF 71243034,N/D,63506087143.0,Ativo,2,22509483037.0,-987469053.0,21522013984.0,0.0,0.0,0.0,0.0,0.0,63506087143.0,0.0,339089362.0,36505003413.0,552746774.0,2377294758.0,2209938852.0
2024-12-31,202412,71243034,3,IF 71243034,N/D,67601819848.0,Ativo,2,21516419259.0,-1066713972.0,20449705287.0,0.0,0.0,0.0,0.0,0.0,67601819848.0,0.0,631919225.0,40553266373.0,851827865.0,232040042.0,2794700678.0
2024-03-31,202403,71261184,3,IF 71261184,N/D,10325681214.0,Ativo,2,4871623362.0,-662111397.0,4209511965.0,0.0,0.0,0.0,0.0,0.0,10325681214.0,0.0,113624061.0,5676966589.0,115574609.0,50382171.0,159621819.0
